type|url|main_title|episodes|start_date|end_date|description|rating|number_of_ratings|runtime|image|aid
OVA|https://anidb.net/anime/4942|Inda no Himekishi Janne The Animation|2|2007-01-26|2007-04-27|There is a beautiful princess, http://anidb.net/ch40241 [Janne], in a beautiful country. She has a special ability in sword technique and magic. The country is peaceful but monsters called ogres start to attack them. Janne takes an initiative and battles the ogres but her younger sister Yuwa is taken by them. Janne goes to Dark Elf`s fastness by herself but she is trapped and caught by them. Janne is given a sexual training there and her body and spirit gradually change...|5.1|328|30|https://cdn-us.anidb.net/images/main/234497.jpg|-1
TV Series|https://anidb.net/anime/1240|Kindaichi Shounen no Jikenbo (1997)|148|1997-04-07|2000-09-11|Kosuke Kindaichi, one of the most famous detectives in Japan`s detective stories, has a grandson by the name of Hajime. In real life, he is just an ordinary high school student but, when a crime takes place, he uses his inherited talents to solve each case brilliantly.Source: AnimeNfo|7.27|216|25|https://cdn-us.anidb.net/images/main/12252.jpg|-1
TV Series|https://anidb.net/anime/636|Mermaid Melody Pichi Pichi Pitch|52|2003-04-05|2004-03-27|http://anidb.net/ch9894 [Nanami Lucia] is a princess of the North Pacific, one of the seven mermaid kingdoms. In order to return the pearl given by a boy who met an accident in the sea when she was small, she came to the human world.Holding the faint hope... "I may be able to meet my first love."http://anidb.net/ch25591 [Doumoto Kaito], a teen-surfer whom Lucia accidentally met upon her coming to the human`s world, was attacked by a suiyou (water demon). Actually, Kaito was the boy Lucia had once saved.Lucia, embracing her faint love for Kaito, transformed using the power of the pearl, defeated the suiyou by holding the mike in one hand singing and dancing!|3.92|297|25|https://cdn-us.anidb.net/images/main/221435.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/2711|Angelique: Shiroi Tsubasa no Memoire|2|2000-03-25|2000-06-27|Angelique......started as a dating simulation game for girls back in 1994 on the Super Famicom. The player took on the role of Angelique Limoges, an ordinary schoolgirl summoned to the Sanctuary of the Queen of the Cosmos. She had been chosen to compete in a contest to determine the next Queen. Angelique was clumsy and foolish in comparison to her rival, Rosalia de Cartagena, a refined girl who had been training since birth to compete in the Queen Examination.What was this Examination, anyway? The girls had to use the powers, or Sacrea, of the Queen`s nine Guardians to cultivate a barren continent. The girl whose population reached the center island connecting the two continents would become the next Queen. But with the nine handsome Guardians around, it was hard to decide between power or love...Made up of 4 OVAs, each of which has multiple parts.Neo-Romance description|2.57|153|30|https://cdn-us.anidb.net/images/main/4398.jpg|-1
Movie|https://anidb.net/anime/11502|Thunder|1|null|null|null|-1.0|-1|-1|null|-1
Web|https://anidb.net/anime/8129|Pankunchi|10|null|null|null|-1.0|-1|-1|null|-1
Movie|https://anidb.net/anime/7773|Hello Kitty: Mahou no Mori no Ohime-sama|1|1991-07-20|1991-07-20|null|-1.0|-1|-1|null|-1
Other|https://anidb.net/anime/7670|Mokei Senshi Gunpla Builders Beginning G|3|2010-08-10|2010-12-19|* Sponsored by Bandai (the manufacturer of the Gunpla models), this series` release was timed to coincide with the 30th anniversary of Bandai`s gunpla models and intended to promote a new model series.An anime story of a group of teenagers and their love for Gundam plastic models (Gunpla). http://anidb.net/ch20147 [Irei Haru] is a boy who decides to become a Gunpla Builder after a fateful encounter with his first Gundam plastic model. His school friend, http://anidb.net/ch20148 [Noyama Rina] is the always cheerful girl who, like Haru, is a big fan of Gunpla. Haru`s pal http://anidb.net/ch20149 [Sakazaki Kenta] is the sempai-boy who also loves Gunpla and having more experience, gives advice to Haru about building them.Note: The first episode was screened at Gundam Super Expo 2010 in Tokyo on August 10, 2010. Additionally it was broadcast on August 15 on the tv station BS11 as part of a special programm "Let`s Make Gunpla 1" and streamed on Yahoo starting from August 20. The second episode was streamed from October 15 to October 29 and shown as part of "Let`s Make Gunpla 2" on October 31. The third episode was shown as part of "Let`s Make Gunpla 3" on December 19.|4.69|193|15|https://cdn-us.anidb.net/images/main/51315.jpg|-1
TV Series|https://anidb.net/anime/8221|Tono to Issho: Gantai no Yabou|12|2011-04-05|2011-06-21|A new bunch of gags ("gyags" in Japanese) every week...and one of the guest stars is none other than the world famous Gackt!!!Source: crunchyroll|4.62|100|5|https://cdn-us.anidb.net/images/main/65385.jpg|-1
